distrito, concelho, freguesia, ano e mes, preco_m2
Porto,Vila Nova de Gaia,Grijó e Sermonde,Fevereiro 2018,750
Porto,Vila Nova de Gaia,Grijó e Sermonde,Janeiro 2018,751
Porto,Vila Nova de Gaia,Grijó e Sermonde,Dezembro 2017,763
Porto,Vila Nova de Gaia,Grijó e Sermonde,Novembro 2017,752
Porto,Vila Nova de Gaia,Grijó e Sermonde,Outubro 2017,744
Porto,Vila Nova de Gaia,Grijó e Sermonde,Setembro 2017,747
Porto,Vila Nova de Gaia,Grijó e Sermonde,Agosto 2017,732
Porto,Vila Nova de Gaia,Grijó e Sermonde,Julho 2017,740
Porto,Vila Nova de Gaia,Grijó e Sermonde,Junho 2017,745
Porto,Vila Nova de Gaia,Grijó e Sermonde,Maio 2017,721
Porto,Vila Nova de Gaia,Grijó e Sermonde,Abril 2017,705
Porto,Vila Nova de Gaia,Grijó e Sermonde,Março 2017,717
Porto,Vila Nova de Gaia,Grijó e Sermonde,Fevereiro 2017,707
Porto,Vila Nova de Gaia,Grijó e Sermonde,Janeiro 2017,706
Porto,Vila Nova de Gaia,Grijó e Sermonde,Dezembro 2016,738
Porto,Vila Nova de Gaia,Grijó e Sermonde,Novembro 2016,755
Porto,Vila Nova de Gaia,Grijó e Sermonde,Outubro 2016,759
Porto,Vila Nova de Gaia,Grijó e Sermonde,Setembro 2016,755
Porto,Vila Nova de Gaia,Grijó e Sermonde,Agosto 2016,737
Porto,Vila Nova de Gaia,Grijó e Sermonde,Julho 2016,770
Porto,Vila Nova de Gaia,Grijó e Sermonde,Junho 2016,780
Porto,Vila Nova de Gaia,Grijó e Sermonde,Maio 2016,783
Porto,Vila Nova de Gaia,Grijó e Sermonde,Abril 2016,780
Porto,Vila Nova de Gaia,Grijó e Sermonde,Março 2016,771
Porto,Vila Nova de Gaia,Grijó e Sermonde,Fevereiro 2016,765
Porto,Vila Nova de Gaia,Grijó e Sermonde,Janeiro 2016,777
Porto,Vila Nova de Gaia,Grijó e Sermonde,Dezembro 2015,802
Porto,Vila Nova de Gaia,Grijó e Sermonde,Novembro 2015,807
Porto,Vila Nova de Gaia,Grijó e Sermonde,Outubro 2015,864
Porto,Vila Nova de Gaia,Grijó e Sermonde,Setembro 2015,870
Porto,Vila Nova de Gaia,Grijó e Sermonde,Agosto 2015,887
Porto,Vila Nova de Gaia,Grijó e Sermonde,Julho 2015,876
Porto,Vila Nova de Gaia,Grijó e Sermonde,Junho 2015,804
Porto,Vila Nova de Gaia,Grijó e Sermonde,Maio 2015,796
Porto,Vila Nova de Gaia,Grijó e Sermonde,Abril 2015,n.a.
Porto,Vila Nova de Gaia,Grijó e Sermonde,Março 2015,n.a.
Porto,Vila Nova de Gaia,Grijó e Sermonde,Fevereiro 2015,n.a.
Porto,Vila Nova de Gaia,Grijó e Sermonde,Janeiro 2015,n.a.
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Dezembro 2019,1.304
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Novembro 2019,1.287
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Outubro 2019,1.302
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Setembro 2019,1.288
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Agosto 2019,1.255
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Julho 2019,1.245
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Junho 2019,1.249
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Maio 2019,1.263
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Abril 2019,1.252
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Março 2019,1.216
