distrito, concelho, freguesia, ano, mes, preco_m2
Braga,Braga,Crespos e Pousada,Março 2018,n.a.
Braga,Braga,Crespos e Pousada,Fevereiro 2018,n.a.
Braga,Braga,Crespos e Pousada,Janeiro 2018,n.a.
Braga,Braga,Crespos e Pousada,Dezembro 2017,n.a.
Braga,Braga,Crespos e Pousada,Novembro 2017,n.a.
Braga,Braga,Crespos e Pousada,Outubro 2017,n.a.
Braga,Braga,Crespos e Pousada,Setembro 2017,n.a.
Braga,Braga,Crespos e Pousada,Agosto 2017,n.a.
Braga,Braga,Crespos e Pousada,Julho 2017,n.a.
Braga,Braga,Crespos e Pousada,Junho 2017,n.a.
Braga,Braga,Crespos e Pousada,Maio 2017,n.a.
Braga,Braga,Crespos e Pousada,Abril 2017,n.a.
Braga,Braga,Crespos e Pousada,Março 2017,n.a.
Braga,Braga,Crespos e Pousada,Fevereiro 2017,n.a.
Braga,Braga,Crespos e Pousada,Janeiro 2017,n.a.
Braga,Braga,Crespos e Pousada,Dezembro 2016,n.a.
Braga,Braga,Crespos e Pousada,Novembro 2016,n.a.
Braga,Braga,Crespos e Pousada,Outubro 2016,n.a.
Braga,Braga,Crespos e Pousada,Setembro 2016,n.a.
Braga,Braga,Crespos e Pousada,Agosto 2016,n.a.
Braga,Braga,Crespos e Pousada,Julho 2016,n.a.
Braga,Braga,Crespos e Pousada,Junho 2016,n.a.
Braga,Braga,Crespos e Pousada,Maio 2016,n.a.
Braga,Braga,Crespos e Pousada,Abril 2016,n.a.
Braga,Braga,Crespos e Pousada,Março 2016,n.a.
Braga,Braga,Crespos e Pousada,Fevereiro 2016,n.a.
Braga,Braga,Crespos e Pousada,Janeiro 2016,n.a.
Braga,Braga,Crespos e Pousada,Dezembro 2015,n.a.
Braga,Braga,Crespos e Pousada,Novembro 2015,n.a.
Braga,Braga,Crespos e Pousada,Outubro 2015,n.a.
Braga,Braga,Crespos e Pousada,Setembro 2015,n.a.
Braga,Braga,Crespos e Pousada,Agosto 2015,n.a.
Braga,Braga,Crespos e Pousada,Julho 2015,n.a.
Braga,Braga,Crespos e Pousada,Junho 2015,n.a.
Braga,Braga,Crespos e Pousada,Maio 2015,n.a.
Braga,Braga,Crespos e Pousada,Abril 2015,n.a.
Braga,Braga,Crespos e Pousada,Março 2015,n.a.
Braga,Braga,Crespos e Pousada,Fevereiro 2015,n.a.
Braga,Braga,Crespos e Pousada,Janeiro 2015,n.a.
Braga,Braga,Escudeiros e Penso (Santo Estêvão e São Vicente),Dezembro 2019,n.a.
Braga,Braga,Escudeiros e Penso (Santo Estêvão e São Vicente),Novembro 2019,n.a.
Braga,Braga,Escudeiros e Penso (Santo Estêvão e São Vicente),Outubro 2019,n.a.
